date,tx_power_gas_mmcf_lag1,hh_spot_usd_mmbtu
2021-03-01,125874.0,2.6275
2021-04-01,89081.0,2.6439999999999997
2021-05-01,112387.0,2.9125
2021-06-01,119157.0,3.1774999999999998
2021-07-01,172535.0,3.818
2021-08-01,193281.0,4.055
2021-09-01,196140.0,4.952500000000001
2021-10-01,158960.0,5.544
2021-11-01,136791.0,5.07
2021-12-01,103728.0,3.84
2022-01-01,104727.0,4.33
2022-02-01,126918.0,4.745
2022-03-01,116379.0,4.7725
2022-04-01,91745.0,6.4079999999999995
2022-05-01,98488.0,8.1275
2022-06-01,150515.0,7.9624999999999995
2022-07-01,184392.0,7.101999999999999
2022-08-01,224657.0,8.76
2022-09-01,219428.0,8.042
2022-10-01,180900.0,5.725
2022-11-01,138746.0,5.345
2022-12-01,129779.0,5.569999999999999
2023-01-01,143387.0,3.34
2023-02-01,128086.0,2.3925
2023-03-01,118982.0,2.3240000000000003
2023-04-01,120711.0,2.16
2023-05-01,119862.0,2.1475
2023-06-01,173024.0,2.166
2023-07-01,210449.0,2.5475
2023-08-01,234904.0,2.5925
2023-09-01,268351.0,2.616
2023-10-01,214662.0,2.965
2023-11-01,152893.0,2.7525
2023-12-01,139010.0,2.556
2024-01-01,137051.0,3.2725
2024-02-01,172404.0,1.8225
2024-03-01,116234.0,1.51
2024-04-01,138750.0,1.5975
2024-05-01,135226.0,2.0759999999999996
2024-06-01,186312.0,2.5300000000000002
2024-07-01,209302.0,2.105
2024-08-01,225101.0,1.9780000000000002
2024-09-01,259113.0,2.2424999999999997
2024-10-01,206936.0,2.2725
2024-11-01,183680.0,2.132
2024-12-01,144190.0,2.9675
2025-01-01,144256.0,4.037999999999999
2025-02-01,181939.0,4.275
2025-03-01,147638.0,4.12
2025-04-01,114651.0,3.5
2025-05-01,128628.0,3.1119999999999997
2025-06-01,179110.0,3.0149999999999997
2025-07-01,193302.0,3.235
2025-08-01,221310.0,2.932
2025-09-01,239114.0,2.9725
2025-10-01,207419.0,3.1719999999999997
2025-11-01,174506.0,3.835
2025-12-01,139462.0,4.1825
2026-01-01,150302.0,7.196000000000001
2026-02-01,168558.0,3.5925
